review,label
写在年末冬初孩子流感的第五天我们仍然没有忘记热情拥抱这年的第一天带着一丝迷信早晨给孩子穿上红色的羽绒服羽绒裤祈祷新的一年孩子们身体康健仍然会有一丝焦虑焦虑我的孩子为什么会过早的懂事从两岁多开始关注我的情绪会深沉地说妈妈你终于笑了这句话像刀子一样扎入我展开全文,0
开年大模型累到以为自己发烧了腰疼膝盖疼腿疼胳膊疼脖子疼,-1
邱晨这就是我爹爹发烧快好毕竟美好的假期拿来养病不太好假期还是要好好享受快乐爹新年快乐发烧好了就去浪吧快快乐乐的度过这个美好假期说不定以后就没有了嗷邱晨虫仔泉州泉州理工学院,1
新年的第一天感冒又发烧的也太衰了但是我要想着明天一定会好的,1
问我们意念里有坏的想法了天神就会给记下来那如果有好的想法也会被记下来吗答那当然了有坏的想法天神会记叫头上三尺有神灵明白那么地府的官也会记如果你坏得不是太厉害的意念你只要在五分钟当中或者在一分钟两分钟三分钟当中不要让这个坏的意念长存它可能就没了下面展开全文,1
发高烧反反复复眼睛都快睁不开了今天室友带我去看还在发烧中建议我输液我拒绝了给我打针你今天吃东西了吗没有那你觉得不舒服要给我说哦好我室友不忍心看我的惨状背过身去医生好了吗没有医生好了吗还没有我室友展开全文,-1
明天考试今天发烧跨年给我跨坏了兰州兰州交通大学,-1
每个娃都是有故事的娃每个大人也是有故事的大人小枇杷有茶有手法静待每个有需求的大人和孩子的到来这几天在武汉专业手法课的学员阿敏专程过来告诉我们说很喜欢这样的解决问题的感觉她最近用体侧线手法给好多流感的娃调了很有效枇杷说你可以开始记展开全文,0
我真的服了昨天去和她说自己不舒服描述了症状她说啊你这不是感冒没有发烧没事的晚上一回寝就发现发烧了叫了老师打算送她去医院去完医院回我家又在那和我争谁去自己也不坚定到底要谁去什么要不然我心里过意不去最后还是值周老师说这些小孩比你厉害才让我去到医院一量都了好在展开全文,-1
新年第一天为自己鼓掌发烧了也要来看线下演出因为热爱所以才会克服困难线上演出太炸了爱呼兰爱赵晓卉长这么大第一次这么近距离看到明星哈哈哈哈新的一年希望自己更要勇敢更要坚强坚持自己坚持自己思想坚持内心想法最后新展开全文,1
一个人在外就对自己好一点吧一个人过生日应该没什么尴尬的吧今年的惊喜来自东哥第一天就发烧真的有点顶,-1
年的第一天发烧姨妈来难受,-1
魔幻第一天感冒发烧躺了一天哪儿都没有去梦乡一日游上海,-1
哎新年第一天发烧感冒也是够够的头都没开好希望新的一年顺顺利利的,1
在家的时候发烧还会坚持上网上学的时候打个喷嚏都会觉得是癌症晚期,-1
现在是北京时间点分我发了一个晚上的烧难受死了去给自己弄个冷毛巾吧哇第一次发烧发得这么厉害我快死了不要祭奠我行了朋友们我已经灭绝了眼睛都睁不开了现在睡吧晚安分享单曲电影这个杀手不太冷片尾曲网易云音乐,-1
第一天就发烧今年怕是可以过呢红红火火了芒市,1
新年第一天在发烧当中过去了,0
第一天就发烧很丧,-1
他们年少相识一起成长一起出道互相照顾经历了我看不到的岁月和曲折发烧感冒不是你第一时间知道快乐喜悦不是和你第一时间分享我算什么你又算什么有什么资格去点评他们的感情,1
可怜的大宝今天咳嗽发烧还被我训被我打为什么要乱扔东西呢为什么要打人呢妈妈骂你打你但是也很心疼你希望你明天病情好转妈妈好担心你榆林府谷县,1
李汶翰青春有你第一位出道全能舞台王者李汶翰全能李汶翰舞台王者李汶翰热心公益李汶翰小动物呵护者李汶翰篮球发烧友李汶翰游泳健儿期待李汶翰李汶翰评论配图,0
打喷嚏咳嗽不捂住猪嘴的祝你发烧感冒到,-1
晚上回家阿姨告知苗小苗发烧了去了医院验血嗓子和肺都没事血象有点高开了头孢我们等候之余还去看了月亮,0
我太难了又喉咙痛小发烧还要准备三个考试还都是闭卷考还都那么难,-1
感冒发烧不想吃药打针那你就挺着别说难受啊饿了想吃不会做饭那你就泡面安慰自己啊下雨打雷在外没伞挨,-1
努力不值得一提大家都不要努力了你觉得努力不值得一提你自己不努力就好买什么热搜啊要全民都跟你一起不努力吗杜江侦察记你跟那种我发烧不想让人知道然后买了热搜一跟全世界宣告有什么区别喊了那么久越努力越幸运的人感到被冒犯了,0
月号第一次小发烧希望今年平平安安健健康康快快乐乐石家庄河北科技大学,1
今天一岁三个月了可是感冒发烧好几天了,0
我真是不知道年我会发生什么至少开头这俩天真是够刺激孩子晚上发烧烧到惊厥抽搐傻笑手都不会动了我真是从未有过的害怕当时真是穿衣服的力气都没有了有了孩子真的要经历的还有很多,-1
我十年没有打针了十年没有打针了太疼了疼比输液难受多了不会了不会了不会再发烧打针了,-1
真是开门红啊今天听到一个好消息除夕和春节不放假我要在单位过年下乡守岁了艹最后一天还中招甲流和急性咽炎发烧度真是我要在急诊室跨年了,-1
细菌性结膜炎发烧年的第一天班竟然以带娃开启这节奏让人瑟瑟发抖小肥妹的生活的微博视频,-1
出去玩儿的最后几天太累了回来又发烧现在要继续打卡啦为雀做的最大改变之前其实不能理解追星的姐妹因为一个不是现生中亲近的人开心难过欢笑流泪喜欢上雀雀之后一切都明白了会因为有好的成绩开心尖叫也会因为雀受伤难过哭泣更多的时候是想到雀就感到温暖展开全文,0
求安利好喝的泡茶好物柠檬片和水果干料包总喝着苦感冒了没发烧一天二十个喷嚏少不了顺口溜也很难编胡诌几句别嫌少不吃药真的又惨又爽,-1
感觉自己在发烧脑袋好疼又没有温度计也莫得药明天还要考试太难了,-1
预告伪装学渣谢俞这个小朋友长得有点壮啊拍完就感冒发烧躺着再也不敢挑战冬天的早晨了开空调也不管用我尽力了毕竟上了年纪啊小声,0
好久没发烧的我昨天夜班居然发烧了烧的头疼眼睛疼好不容易睡着了又有患者家属敲门最难受的时候我就想给我爸打电话想让他来接我回家因为真的太难受了可是我忍住了我不能那么做早上五点半起来抽血差不多得抽血抽一个小时左右因为人太多了为什么抽这么久因为有几个大娘真的展开全文,-1
女童发烧吞下一周药量需跨城救治为抢时间交警做了这些事,0
元旦见男朋友比较显著的结果就是被他传染感冒还发烧了明天还要考试害一天都不太顺利拜拜,-1
这一年刚开始就发烧,-1
前两天发烧今天我在学了考研词汇个单词已坚持天你也来背单词吧下载百词斩网页链接,0
最后一天发烧要死了,-1
求求感冒发烧头疼咳嗽放过我,1
对不起您的暑假余额已不足天请及时充值充值方式有发烧请假天感冒请假天头晕头疼肚疼均天特价优惠不交学费可长期暑假待机,0
小朋友发烧了就眼泪汪汪的看电视都没有兴趣了乐清市,-1
网页链接网页链接文过来抱我是新年贺文迟到的两周年贺文这次私心里想写一个发烧感冒撒娇的白警官在最后保留了一个小小的惊喜希望往后每一年都是阳光干净星河璀璨,0
屯Tt院接收名上呼吸道感染女子她曾到武h初步@示她]有感染沙士或禽流感目前^m被隔x情r定屯Tt院表示星期二接收名l出F上呼吸道感染徵畹呐病人由於她l病前到^湖北武hS即安排隔x治KM行快速yη萘鞲猩呈砍赎性反自武h出F不明展开全文,0
儿子发烧新年第一天加班预示着我收货更多闽侯基坑变形较大担心中怎么解告诉我好么未来的你,1
月子里嗨了两次发烧了两次就这样天过完了,0
越是发烧越是想吃冒菜,0
小崽崽今天是你一岁五个月零三天这是你第四次半夜去医院第一次第二次是因为胳膊脱臼第三次就是最近半个月之前的发烧今天走路不小心把嘴磕破了妈妈实在没想到会如此严重让你缝了几针万幸的是以后不用留疤亲爱的小崽崽以后的路很长磕磕绊绊在所难免妈妈只希望你可以平平安安展开全文,1
头疼了一整天迷迷糊糊了一整天明知道我今天病的重明知道孩子发烧但是现在了他还没回来不知道他啥时候回来不知道他干啥去了这会儿孩子退烧了算算时间点了还得再给吃一次退烧药所以我也不能睡等着吧,-1
宝宝出生第天个月天又是陪着宝宝升级打怪的一天反复发烧强制喂药可怜的宝宝还好精神状态还是不错的晚上吃饭也乖明天上午还是带宝宝去查个血常规好了,0
晴朗小宝发烧退了低烧,1
感冒发烧就是难受来宾金秀瑶族自治县,-1
今天上着上着课孩子们一个个都上来跟我说头晕去量完体温才发现居然都发烧了一节课下来五六个小孩都请假回家了流感季节真是太可怕了,-1
推荐你听北方的狼老歌发烧友和素素王月园合唱的这首唱得真不错新鸳鸯蝴蝶梦北方的狼老歌发烧友,0
新年新气象果然发烧了,0
感冒发烧用小赞杯泡一杯红糖姜茶别怕长肉肉喝掉困觉觉玖少年团肖战,0
发烧咳嗽流鼻涕被灌各种药嗓子疼不吃不喝终于还是逃不过输液新年的愿望就希望你不要生病巴彦淖尔,1
病患突然发烧四肢冰凉还好及时发现幸免于难每日笑话汇的微博视频,0
刚庆祝完老公生日小可却了第一次发烧的你麻麻看了真心疼今晚应该是个不眠之夜了,-1
感冒发烧真的是太难受了但想想毕竟也是一次提高免疫力的机会就忍忍吧连喝了两天粥虚得很整牙韩饕缴上海隐形矫正,-1
又感冒又发烧她在说啥我是一个么的感情的上班机器长春,-1
回来天五天在感冒发烧我好晕现在,-1
人真的不能感冒发烧啊想太多也跳不出怪圈圈第天,-1
大家最近真的不要去人多的地方我跨年那天在外面去玩第二天醒了就发烧加咳嗽了最开始还以为是感冒随便拿了点药到现在才知道是流感嗓子一直在咳嗽都发不出声音喝水都疼昨天咳了一天今天一咳嗽就肚子特别疼真的要非常注意,-1
就是这个机场崽崽发烧不舒服还要和粉丝剪刀石头布让粉丝,0
今年冬天就在发烧中度过为毛老发烧乌鲁木齐锦绣家园,0
本来定了明天去东丽湖恒大泡温泉结果旺仔感冒发烧今天刚不烧我也感冒严重了所以就不能去了想买个帽子去了两家店找了一个代购都没有新找了一个代购不知道能不能买着在没有我就官网订一个太喜欢了最近怎么这么多烦心事我都好久没去健身房了好愧疚更没有什么心思买衣服不展开全文,-1
社交心理障碍感谢感冒发烧让我避开了小刘的朋友局希望下次他们聚会我还发烧,0
我再也不会抱它睡了故事人物我和妈妈故事背景两个感冒的人故事讲述额头太疼了敷了两片沾凉水的卸妆棉妈妈看见了就问我你这是发烧贴嘛我为啥要贴发烧贴,0
直到今天才知道差点这辈子都见不到你了原本以为只是发烧感冒结果是病毒性肝炎还好天爆发期你在第天回昆明了云艺的一个小姐姐和你一样但是错过了抢救无效不幸去世了听你一个人这么机智勇敢地熬过来真的好庆幸你还好好的活着生命真的坚强又脆弱大家都要努力的活着啊,0
一个月前回到家连吃五顿辣火锅吃到拉肚子发烧然后我好好做人了半个月吃得像个广人期间考完了一场有点重要的考试肝完了论文初稿今天预答辩还被夸了于是出校门第一件是就是打电话问火锅店可不可以预约哈哈哈哈哈,1
恭喜我自己获得生理期感冒发烧大礼包一份,0
华电读研日记今天突然想吃橄榄菜于是有了图没有吃过的同学可以试试味道很好吃的下馒头也很好用橄榄菜就主食不加别的是那种很简单纯粹的美味体验图书馆门口的奶茶不错耶今天第一次喝以前以为那里只有咖啡今天发现也有奶茶它这个叫慕斯奶茶如果我没记错口感细展开全文,0
也不知道是什么原因今天早上宝贝就开始发烧了但是你却跟平时一样很开心的和妈妈玩知道下午爸爸回家后量了体温才发现你体温又升高了看着你开始慢慢哭闹就知道肯定是特别的不舒服了这也是你出生以来第一次发这么高的烧虽然赶紧喝完退烧药后就睡了但是还是很担心看着躺在身边的你一次次摸展开全文,0
春节放假前的最后一个双休在家瘫了一天竟然发烧了为什么,-1
昨天还说我不会感冒的打脸了吧这会儿嗓子痛发烧兰州风邪,-1
我们家的小朋友真是一个女汉子呀虽然早产一个多月比同龄的小朋友小很多但是这个身体素质那是杠杠的昨天价肺炎的加强针打完后哭闹不止晚上发烧喝了点退烧药不放心还是去省妇幼急诊吧哇呀呀进门吓一跳人山人海的流感太厉害了展开全文,1
感冒发烧,0
来看响妹打球下大雨了我俩真的琳成狗现在脑壳有点昏我估计我要发烧了身体太差了难过死了,-1
连续发烧四天也是够够的了今天打了吊针直接升到度我甚至以为自己要挂了也是服了,-1
这个叫搭棚很流行的古老电子工程技术电子管时代发明到如今还是发烧友比技术的基本功转发微博,0
晚上又发烧了度吃了药贴了退热贴又上了布洛芬栓剂总算发汗降温睡着了希望小桃子晚上没事恢复健康,1
第一场感冒病毒太严重最终还是没逃掉再多的表情包都形容不了我晚上尤其严重住院出院门诊门诊感冒鼻塞咳嗽发烧省略号的难受许昌,-1
恭喜我的感冒发烧姨妈一起恭候我,0
我免疫系统为什么我发烧了免疫系统我提高了你身体的温度因为病菌无法在四十摄氏度下存活很长时间我可是我也无法在四十摄氏度下存活很长时间啊免疫系统那就看谁的命硬了,0
年第一次发烧居然是被两个孩子整发烧了我真的也是个传奇记录了啊,0
哦吼这个自助餐吃贵了手机废了人发烧了需要看看周老师求安慰这个手机上却没有还在我一年半前我特别喜欢的时候,-1
发烧情头吗二花女士西宁,0
在家的时候发烧还会坚持上网上学的时候打个喷嚏都会觉得是癌症晚期,-1
这个冬天有点暖但太阳消失了好久搞的小盆友们相继流感发烧在家打扫了半天卫生再地板打蜡明天去买盘水仙吧,0
发烧就不能着凉不允许穿这么少评论配图,0
宝贝生下来今天是第二次发烧给他做了菠菜圆子汤他不吃给他煮了面他不吃又给他蒸了苹果泥他不吃晚上还给他熬了八宝粥仍然不吃唉累得我吐血整个一天就喝了点牛奶心疼死我了快点好起来吧,0
历史总是惊人的相似去年的今天我发烧了今年的今天我着凉头疼想吐,-1
可怜的小盆友第二次打点滴第三天了这是人生第二次打点滴了为娘本以从出生到岁半都没有生病没有发烧为荣可是咳嗽总是很严重没有食欲因天天不吃饭而让奶奶无比的担忧各种粥梨水萝卜水年愿平安健康,0
阿邰暖心日常爸爸今天感冒发烧了躺床上迷迷糊糊的问我妈今天和丫头视频了没妈妈说视过了我再帮你视一次我接了以后妈妈说快快快你爸难得感冒一次这会儿想你了需要你的安慰然后镜头一转我看到爸爸裹在厚被子里他平时身体特好不怎么盖被子而且在家里都是光膀展开全文,0
为了给用户带来极致体验我们不惜投入更多研发成本美商海盗船钛金级电源向用户展示了美商海盗船在顶级领域不断探索的精神图腾在新的一年我们将给广大发烧友和游戏玩家带来更多让人感到兴奋的产品最后感谢极电魔方客观中立的测试我们会努力做得更好,0
考试周发烧瘦了四斤,-1
揽镜自照觉得自己怎生的这样好大概是昨晚发烧烧坏了脑子,1
吗的昨天嗓子痒我就有不好感觉今天果然发烧了吗的能不能对我好点我就想身体健康每天都能笑出来唉,-1
旦增尼玛原本想连夜剪辑一版彩排现场合并版但大概展开全文,0
我看硬了这个我懂发烧了给你看在吃药,0
杭州看完演唱会发烧去医院导航了最近的医院杭州第七人民医院进去之后在护士差异的眼光中得知这是精神病院,0
生病发烧昏沉,-1
有别的办法吗你这个没救正在发烧突然被感动到原来我被暗中保护着真好,0
早早起床没吃饱就跑到方糖做苦力派传单分货弄到点多都没饭吃到吃饭时候又没肉一盒米饭干咽干咽的苦力到点又没有包晚餐滴滴回到家哥哥发烧带去看医生回来已经点头不是一般的晕呀真真切切的生活就在这个不老不嫩的年纪庆幸家人帮忙照顾不然不但没有自己也没有工作或展开全文,-1
周末发烧愉快,1
最近在贵州农产品年货走进广州的展销活动中贵州乾中元农业生态科技有限公司的南非叶茶供不应求安顺市驻广州办事处的王主任对该公司的张总说南非叶茶是一个好产品你抓好生产我们负责销售南非叶又名桃叶斑鸠菊杏叶斑鸠菊神奇树苦树南非树原产于非洲最多见于西非展开全文,0
也许是发烧烧坏脑子了度的温度让我想起你,0
儿子发烧了妈妈没有照顾好你妈妈只求你能健康快乐其他什么都不重要你最重要,1
新年初始第一天加班法定假日应该放假的第二天着凉第三天第四天第五天连续三天晚上发烧这是要闹哪样,-1
发烧发热的要特别注意了,0
上周一感冒还把小宝贝给传染了害她发烧流鼻涕去了一趟医院买了好多药我自己没有吃药想着过几天就好了然而过了天咳嗽越厉害啦妈妈让我去买药别拖着治咳嗽的消炎的冲剂盒药一张毛爷爷就没啦吃了天没点效果咳嗽快把肺咳出来了那种无法控制的咳展开全文,-1
总结一下发烧时可以煮沸白茶然后加冰糖饮用来帮助退烧排毒小儿湿疹痱子可以用白茶擦洗喝完的白茶可以煮了用蒸汽熏脸调呼吸不打农药的放心好白茶实实在在的价格可以加微信购买我跟妹妹穿的真丝弹力练功服特价回馈元鼓励大,0
我免费围观了蓬蕊医生的回答问题价值元快来一起免费围观微博问答,0
因为发烧所以有点想家,0
年的初雪发烧咳嗽浑身无力今日讯息很安静没来由的难过,-1
博士又揭一起学术不端她最近在网站上公开质疑北京大学药学院院长天然药物及仿生药物国家重点实验室主任周德敏教授涉嫌学术造假针对周德敏教授作为通讯作者或者共同作者的篇学术论文提出质疑表示论文中存在明显的一图多用现象在刚刚过去的年里院士大学校长造假展开全文,-1
我的脸发烧了,0
生活是痛苦的我们仍旧快乐生活是快乐的我们只愿意快乐的活着家的次方我们是快乐的我们是快乐的生活终止了这次发烧是睡得最爽的一次了,1
发烧拉肚子,-1
月日早晨起来精神好了些只是还有些发烧不过愿意吃点东西我熬了小米粥吃了半碗一直要喝水反反复复一天都在低烧我一直不停的喂水抱着孩子身体每次不舒服我都是抱着搂着很是粘我她爸爸都不给抱我不愿意给孩子乱吃药每次都想着让她用自己的抵抗力去抵抗那些细菌想展开全文,-1
又是发烧又是出血真难顶啊,-1
经历了高反发烧的张张终于圆梦了人生第一场日出金顶下的峨眉是雪中仙境金顶上的峨眉是云上天堂刚下缆车顺着楼梯迎着朝霞一路奔跑看着圆日涌出云层洒下金光这是我一直拥有从未逝去的青春啊,0
坐床上嚎为什么又双发烧了啊哭惨,-1
我爹真的对散步有执念继两天前给我从中医院拖着我走到西大桥回家吸了一路冷风就气管炎感冒发烧嗓子疼搁家躺了两天瞎几把吃了一万种药我要是不求着去医院根本想不起来世界上还有西医这种东西昨晚上半夜三点打完针要我从医院走回家被我妈拦着打了个车今天打针我妈没在硬是又拉着我走回家差点没展开全文,0
今天又是每个人几乎都在强调不要感冒不要生病其实这两天不知道是因为我发烧刚好还是怎么的觉得气氛有那么些温暖期待这次回归的九人吧大家都健健康康的向梦想再次努力吧,0
啊桃子我中奖啦啊第一次呀激动到不会说话新年开始就在感冒发烧扁桃体发炎家里躺了两天希望这个奖能给我带来好运祝桃子和雅越来越好呀祝大家身体健康桃子与司康发光成长社群桃子与司康,1
小记刚熄灯外面下雪了我妈感冒发烧了我还在学校没在家可能背英语背的吧趁着黑灯哭出来了我说我为什么最近心理憋得慌我远没有我想象的坚强吧好在今天没有打原本想打的电话她也不想让我知道她的脆弱吧但我发烧真的不敢说他们担心怎么整啊好在我有多喝水不然我现展开全文,-1
商振博第二天之印象最深的一个作品街舞进的那个舞蹈一个爵士风很浓的舞节奏很快动作也很复杂我学了两年的爵士和都市编舞吧反正我愣是没学好那段舞它很好的展示了奶老师的身体框架和柔韧度虽然射击动作慢了半拍但是也能明确看出奶老师强大的展开全文,0
曾经总是被偶然的邂逅击中仿佛爱情是永不回头的赌但慢慢发现越爱越累到最后缺的总是一个拥抱我发烧了多喝点水就好了大姨妈来了多喝点水就好了我喝多了多喝点水就好了我嗓子疼多喝点水就好了今天好冷多喝点水就好了我不开心多喝点水,0
在上个月发高烧之前可乐同学一直是个天使宝宝自从发烧之后就发生了天翻地覆的变化妈妈必须要在可见范围之内不然就哭去个陌生的地方必须要妈妈抱着否则哭吃水果永远没有满足的时候还是哭曾经任由他一次性吃了个草莓就想看看吃多少才能够爸爸妈妈必须满足他一切要求要不展开全文,0
从下午发烧到这会感觉自己已经废了,-1
吃狗肉喝白酒里外发烧,-1
宝宝发烧了怎么办家中长辈第一反应是感冒着凉了吧捂捂吧不懂别害宝宝呀虎妈教你种正确应对宝宝发烧的处理方法微博母婴虎妈潘潘的秒拍视频宝宝感冒发烧怎么办,0
在家的时候发烧还会坚持上网上学的时候打个喷嚏都会觉得是癌症晚期,-1
明明是感冒发烧喉痛为什么到你那就成了害怕无奈无语通辽,-1
昨天晚上有点发烧让男朋友陪我去急诊来回打车花了他块钱今天早上上来就问我要这块钱,-1
很久没有絮絮叨叨我们的感情了我总是很好奇爱情到底能把一个女孩子变成什么样子大概就是心理年龄疯狂下降吧一直以来都是我记路现在男朋友就是我的导航仪感冒发烧也有人照顾整晚陪着可以一起去吃想吃的东西可以一起去看喜欢的电影一起刷无数遍可以一起走遍每个景点留下游客照和男朋友展开全文,0
大白菜价出口品质发烧级友头戴式耳机监听电脑游戏手机蓝牙大白菜价出口品质发烧级友头戴式耳机监听电脑游戏手机蓝牙,0
外面下雨的嘀嗒声貌似挺减压的今天又在感冒发烧的边缘徘徊智齿还是没空拔太忙了万一拔后身体扛不住想休息也没时间啊生日收到一份好友精心准备的礼物晚上打开的时候闪着暖光惊到了满足了我的少女心友情无价还有收到一份弟弟送的鲜花说实话我确实不喜欢花不喜欢鲜花也不喜欢养展开全文,0
落地米ml了l了陈启鑫微博视频,0
发烧反反复复,-1
流感和发烧没有击倒我啤酒和白酒没有击倒我最后我没能躲过肠胃炎所以也加入吊瓶大军了糟老头子G的微博视频,0
就好像发烧了似的浑身酸痛无力但摸摸额头我也不像发烧啊啊啊啊好难受怎么会这样,-1
昨天下午发烧咳嗽一直到现在说话都没力气走路更没力气睡了一天了头都是晕晕的,-1
牛批感冒发烧,-1
感冒发烧的滋味真不好受雨也终于消停了远离病痛才是最重要的愿安康晚安,-1
发烧没好不好喝冰的唉多肉葡萄太好喝了合肥海亮九玺九台别墅,1
生病发烧请假在家窝了一天昨天傍晚那会儿烧退了到了深夜又发烧到朋友问我要不要去医院我说不我很抗拒晚上的急诊室会看到很多双无奈且布满血丝的眼睛晚上躺着一直在流虚汗感觉睡衣都湿透了我一动不动裹着被子躺着心里祈祷着第二天会好的果然今天退烧了今天看了婚姻故事展开全文,-1
娃流感跑了三趟医院开出以下药方一判断病毒感染开了奥司他韦布洛芬蒲地兰出了名的回扣药直接没给祺吃二反复发烧病毒感染的特性继续观察不用药我是无所谓问题是发烧第三天了相继出现咳嗽腹泻症状家里长辈撑不住了再次看了医生未做任何检查直接开了抗生素头展开全文,-1
下午两点多米花开始发烧近度不过她的精神状态一直很好晚饭依旧能吃能喝的晚上九点度吃了退烧药睡去但愿晚上不要太遭罪啊她现在除了说自己的姓还会说姥姥的姓很多问题她都能反应过来很聪明的宝宝,0
那年把香港玩坏了内陆总共死了三百多人香港就干掉将近三百人那人口密度他们确实应该怕再严重的事咱们风格向来内紧外松香港全是起哄架秧子裹乱的只要武汉过去发烧的都算疑似算谨慎防范没问题但添油加醋全是谣言他们喜欢这活法不嫌累乐在其中,0
感冒发烧不想吃药打针那就挺着别说难受,0
今天好焦急我的都宝贝在经历了咳嗽发烧并且吊瓶加吸雾化天后咳嗽稍微减少竟然又开始发烧我心里很乱很多可怕的想法只求一切都好我的宝宝一切都好好的坚强的挺过去不知道后面迎接我的是什么但愿一切都是好的,1
音乐今天感冒了头痛发烧加咳嗽于是没怎么更新睡前突发奇想在音乐软件搜感冒结果被这个歌名笑到像极了在社交软件上拼命凑字数的我,1
持续发烧,0
晚上睡下温度又上来了下午医生说再发烧就要挂水明天去吧睡的不安稳我碰一下额头她就醒了刚刚叫醒又喂了美林我看着等会再量一下温度,0
昨天幼儿园放学回家奶奶看她精神不太好一量体温发烧了今天请假在家休息明天也不知道什么情况幼儿园的勇敢者之夜活动不知道还能不能参加了,0
昨儿咳嗽基本上好了就是躺下要睡着那会儿嗓子痒咳嗽了几声今儿似乎又厉害了点儿临睡之前赶紧针上没按课本来的但咳嗽停了就是嗓子眼儿和肚子在往外冒热气平时练减肚子的针那也热但温煦的那种热很舒服跟早晨点多的太阳似的这个热就像一个发烧的人把手搭在你身上的那种闷展开全文,0
感冒发烧咳嗽,-1
我的闺女从发烧了可怜巴巴到半夜跑起来去厨房偷肉吃全程不超过五小时向雨涵,0
快要发烧又没有发烧的感觉真的好奇特好想吃雪糕,0
做完了手术熬过了发烧养好了背疼治好了送走了姨妈还是没躲过感冒我这毛病啊此起彼伏的年了能不能对我温柔点我想正常的过几天行不行鼠年我就问你行不行,0
